time,open,high,low,close,Volume
2018-04-25,232.96450298,234.04554475,231.13913735,233.60249485,103840948
2018-04-26,234.63037063,236.80592291,234.18732073,235.97724236,67731942
2018-04-27,236.58865123,236.88992517,235.2595015,236.19876731,57053647
2018-04-30,236.81903718,237.37728007,234.3113747,234.38226269,82182324
2018-05-01,233.8151588,234.90506158,232.25562312,234.7987296,74203365
2018-05-02,234.60378764,235.41899947,232.831588,233.22147192,86368943
2018-05-03,232.3885381,233.3632479,229.54415768,232.70753403,136311479
2018-05-04,231.73282423,236.40186139,231.4049673,235.72027341,91222075
2018-05-07,236.49118025,237.49247304,235.80002239,236.51776324,55304907
2018-05-08,236.14560132,236.87663367,234.94936657,236.51776324,67499247
2018-05-09,237.19119911,239.12732721,236.66840021,238.80390077,59666143
2018-05-10,239.54822462,241.36472925,239.44189264,241.03687231,72063931
2018-05-11,241.16092629,242.03816511,240.64698839,241.77233516,59871511
2018-05-14,242.20652407,242.86223794,241.33814625,241.88752814,54790606
2018-05-15,240.65584939,240.67357139,239.27353368,240.22166048,87036036
2018-05-16,240.25710447,241.69258618,240.23052148,241.23181427,53942631
2018-05-17,240.96598433,242.10905309,240.24824348,241.02801132,56536400
2018-05-18,240.68243239,241.04573331,240.07102351,240.42546344,64367959
2018-05-21,241.91411113,242.77362796,240.44424876,242.23310707,58025875
2018-05-22,242.75590596,243.01287491,241.23181427,241.55967121,52966358
2018-05-23,240.28368747,242.25082906,240.1241895,242.22424607,64694184
2018-05-24,241.82550115,242.10019209,239.93810854,241.72803017,76043827
2018-05-25,241.15206529,241.78119616,240.64698839,241.15206529,56374755
2018-05-29,239.52164163,240.28368747,237.26208709,238.37857286,115908607
2018-05-30,239.69000059,242.00272111,239.61911261,241.55967121,69678449
2018-05-31,241.15206529,241.45333923,239.47290614,240.07988451,93519941
2018-06-01,241.38245124,242.73818396,241.31156326,242.43691002,71258411
2018-06-04,243.26098285,243.84137824,243.0217359,243.58883979,45392351
2018-06-05,243.72175476,244.14708267,242.95084792,243.76605975,51135038
2018-06-06,244.37746862,245.91042131,243.75719875,245.80408933,62732215
2018-06-07,246.29144423,246.58385717,244.86482352,245.77750634,72969402
2018-06-08,245.31673443,246.55727418,245.14837547,246.50410819,72139719
2018-06-11,246.72563314,247.54970597,246.61044016,246.83196512,58892515
2018-06-12,247.24843203,247.51426198,246.50410819,247.15096105,72329028
2018-06-13,247.390208,247.64717695,246.15852926,246.36233222,79070610
2018-06-14,247.23071004,247.51426198,246.3888266,246.98260209,77097620
2018-06-15,246.1953902,247.00536058,245.08279354,246.66713119,120143175
2018-06-18,245.20740436,246.28439794,244.7267626,246.15978711,52917581
2018-06-19,243.88118914,245.43882447,243.46285279,245.21630514,97531510
2018-06-20,245.90166468,246.30219948,245.2964121,245.63464148,53785486
2018-06-21,245.62574071,245.64354226,243.59636439,244.0948077,71061404
2018-06-22,245.35871751,245.46997718,244.31732703,244.53984636,56612003
2018-06-25,243.38274583,243.53957746,239.51981021,241.21095714,137854162
2018-06-26,241.78060663,242.59947778,241.0240409,241.74500354,68683211
2018-06-27,242.33245458,243.7610287,239.59101639,239.74232954,105110674
2018-06-28,239.6889249,241.87851514,238.97686304,241.11304863,76650517
2018-06-29,242.20784375,243.57856284,241.3440237,241.46017879,97592499
2018-07-02,239.88474191,242.13663757,239.64442103,241.97642365,63554774
2018-07-03,242.87540175,242.97331026,240.69471229,241.12194941,42187071
2018-07-05,242.25234762,243.15132573,241.17535405,243.08902031,56925919
2018-07-06,243.11572263,245.51893143,242.73743977,245.14509895,66493696
2018-07-09,246.15088634,247.40589538,246.10638247,247.35249074,50550399
2018-07-10,247.80643017,248.34047657,247.51270466,248.24256807,51966829
2018-07-11,246.68493274,247.47710156,246.12418402,246.42681031,77054739
2018-07-12,247.69072012,248.71430905,247.08546754,248.66090441,60124687
2018-07-13,248.48288895,249.15934772,248.02894951,248.85672143,48234964
2018-07-16,248.90122529,249.0463079,248.18916343,248.63420209,48201038
2018-07-17,247.85983481,250.03162351,247.80643017,249.63998948,52315500
2018-07-18,249.72009644,250.27194439,249.27505777,250.16513511,44593465
2018-07-19,249.49757711,249.88031036,248.74101137,249.22165313,61412117
2018-07-20,249.01693535,249.64889025,248.77661447,248.93682839,82372729
2018-07-23,248.7321106,249.60438639,248.38498044,249.3996686,47047565
2018-07-24,250.81489156,251.50025111,249.78240185,250.65467764,68026935
2018-07-25,250.40545599,253.11129108,250.36095212,252.79086324,78882927
2018-07-26,252.0699006,252.87987097,251.97199209,252.19451142,57919495
2018-07-27,252.52384004,252.62174854,249.55988252,250.48556295,76783177
2018-07-30,250.56566991,250.72588383,248.65200364,249.17714927,63742508
2018-07-31,249.94261577,251.01960935,249.55988252,250.40545599,68570493
2018-08-01,250.61017377,251.11751785,249.3386983,249.98711964,53853326
2018-08-02,248.67870596,251.51805265,248.47398817,251.34893796,63426363
2018-08-03,251.47354879,252.47728899,251.29553332,252.42593153,53935386
2018-08-06,252.46153462,253.66313902,252.07123571,253.35161196,39400887
2018-08-07,254.01916996,254.5710179,253.88565836,254.18828465,43196646
2018-08-08,254.01916996,254.48201017,253.61863516,254.08147537,42114551
2018-08-09,254.14378078,254.53541481,253.59638322,253.73434521,35716976
2018-08-10,252.29241993,252.83091672,251.32223564,252.0342975,77076044
2018-08-13,252.31022148,252.92437484,250.79709001,251.09081553,65732909
2018-08-14,251.82067894,252.93327561,251.43198217,252.69295473,43842031
2018-08-15,251.34003719,251.48244956,249.36406551,250.80599079,102887320
2018-08-16,252.24791606,253.70764289,252.21231297,252.8353671,69967919
2018-08-17,252.63064932,254.17057211,252.22121374,253.72544444,65618481
2018-08-20,254.17938388,254.53541481,253.72544444,254.26839161,39807490
2018-08-21,254.78463646,255.72811844,254.30710997,254.86474342,67271983
2018-08-22,254.45530785,255.2385759,254.18383426,254.71343028,44993333
2018-08-23,254.53541481,255.39878982,254.05477305,254.37520089,49204851
2018-08-24,254.95375116,256.04854627,254.90034652,255.9061339,57487399
2018-08-27,257.1077383,258.03341873,256.94752438,257.92660945,57072377
2018-08-28,258.38944966,258.49403375,257.58838006,258.05122027,46943472
2018-08-29,258.26483883,259.67116102,258.0204236,259.43974091,61485514
2018-08-30,258.95909915,259.33293163,257.79309785,258.38944966,61229501
2018-08-31,257.98001409,258.8433891,257.49047155,258.39835043,66140838
2018-09-04,257.98001409,258.3093427,256.94752438,257.95331177,57594367
2018-09-05,257.59728083,257.80199862,256.24436329,257.25905145,72452437
2018-09-06,257.36586073,257.66848702,255.45219446,256.48468417,65909863
2018-09-07,255.43439292,256.96532593,255.19407204,255.98624086,73524824
2018-09-10,257.00092902,257.26795222,256.23546251,256.43127953,50210903
2018-09-11,255.78152308,257.72189166,255.42994253,257.27685299,50530492
2018-09-12,257.28575377,257.94441099,256.54698958,257.33915841,59810758
2018-09-13,258.40725121,259.04668276,258.11797607,258.86119065,51034222
2018-09-14,259.06590843,259.25282467,258.12242646,258.90569451,55079875
2018-09-17,258.85228987,258.88789297,257.25905145,257.53497542,68244043
2018-09-18,257.74859398,259.52874865,257.72189166,258.93239683,61930407
2018-09-19,258.98580147,259.62665715,258.85674026,259.20832081,49080562
2018-09-20,260.47223062,261.62933115,259.22282907,261.30890331,100360646
